Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,36.220001,37.200001,35.619999,36.250000,36.250000,9294000
2019-05-13,35.590000,38.340000,34.700001,37.790001,37.790001,12480700
2019-05-20,37.290001,37.820000,36.200001,37.310001,37.310001,7982300
2019-05-27,36.810001,37.200001,34.610001,35.919998,35.919998,11581800
2019-06-03,35.790001,37.730000,34.590000,37.279999,37.279999,10473200
2019-06-10,37.470001,39.180000,37.340000,37.950001,37.950001,9031300
2019-06-17,38.500000,39.970001,38.139999,39.020000,39.020000,5865400
2019-06-24,39.259998,39.279999,37.430000,38.000000,38.000000,9987900
2019-07-01,38.650002,40.029999,38.509998,39.200001,39.200001,7536800
2019-07-08,39.020000,41.020000,38.189999,40.330002,40.330002,7467100
2019-07-15,40.639999,40.919998,38.939999,39.000000,39.000000,7603500
2019-07-22,39.560001,42.369999,35.840000,37.040001,37.040001,22844100
2019-07-29,38.740002,40.080002,37.259998,37.540001,37.540001,18739300
2019-08-05,37.000000,37.419998,36.130001,36.959999,36.959999,9148800
2019-08-12,36.820000,37.910000,35.529999,36.480000,36.480000,7034700
2019-08-19,36.430000,37.090000,35.709999,35.790001,35.790001,6885400
2019-08-26,36.320000,37.169998,36.009998,37.099998,37.099998,4230400
2019-09-02,36.619999,38.349998,36.590000,37.990002,37.990002,5853700
2019-09-09,38.119999,38.160000,37.110001,37.880001,37.880001,6396700
2019-09-16,37.930000,38.310001,35.770000,35.770000,35.770000,10717400
2019-09-23,36.279999,36.740002,35.090000,35.259998,35.259998,9901000
2019-09-30,35.299999,35.590000,33.810001,35.360001,35.360001,12655200
2019-10-07,35.250000,36.110001,28.910000,29.990000,29.990000,44320500
2019-10-14,31.000000,31.620001,29.500000,29.760000,29.760000,27946400
2019-10-21,32.540001,33.290001,31.660000,32.270000,32.270000,26272100
2019-10-28,32.500000,34.070000,32.459999,33.849998,33.849998,12949200
2019-11-04,33.900002,34.549999,33.750000,34.160000,34.160000,8975800
2019-11-11,33.959999,36.000000,33.619999,35.790001,35.790001,10129200
2019-11-18,38.130001,40.689999,38.099998,40.459999,40.459999,28426200
2019-11-25,40.369999,42.099998,40.369999,41.970001,41.970001,8132000
2019-12-02,42.240002,42.250000,39.980000,40.459999,40.459999,8625300
2019-12-09,40.220001,43.250000,40.220001,43.250000,43.250000,15723700
2019-12-16,43.020000,43.529999,41.750000,43.160000,43.160000,12669600
2019-12-23,43.360001,44.279999,43.090000,43.900002,43.900002,3709000
2019-12-30,43.930000,44.209999,43.000000,43.209999,43.209999,3828500
2020-01-06,43.119999,44.830002,42.830002,44.060001,44.060001,7317300
2020-01-13,44.459999,45.459999,43.189999,45.400002,45.400002,11032800
2020-01-20,45.009998,45.770000,44.240002,45.380001,45.380001,8459900
2020-01-27,43.740002,46.580002,43.630001,44.810001,44.810001,12418100
2020-02-03,45.270000,48.820000,45.090000,48.490002,48.490002,11485000
2020-02-10,48.209999,48.950001,46.480000,46.570000,46.570000,14094300
2020-02-17,45.950001,46.900002,44.000000,44.540001,44.540001,16090400
2020-02-24,42.849998,43.450001,38.700001,40.610001,40.610001,36289300
2020-03-02,40.849998,41.799999,38.580002,39.509998,39.509998,15953900
2020-03-09,35.650002,38.040001,32.029999,33.939999,33.939999,28786500
2020-03-16,30.670000,33.330002,27.930000,29.910000,29.910000,18740900
2020-03-23,30.629999,34.880001,28.370001,32.980000,32.980000,14129600
2020-03-30,33.310001,35.220001,31.850000,32.380001,32.380001,16037700
2020-04-06,33.619999,36.860001,33.470001,36.139999,36.139999,12633800
2020-04-13,35.990002,38.240002,34.400002,36.619999,36.619999,16000000
2020-04-20,35.709999,37.090000,33.790001,36.000000,36.000000,12699600
2020-04-27,35.669998,39.799999,35.669998,37.410000,37.410000,14259000
2020-05-04,37.450001,40.810001,37.119999,40.740002,40.740002,9407200
2020-05-11,40.500000,40.900002,37.470001,38.990002,38.990002,8655200
2020-05-18,40.110001,41.770000,39.990002,40.259998,40.259998,9250300
2020-05-25,41.770000,41.770000,39.459999,40.230000,40.230000,10804300
2020-06-01,40.630001,42.590000,40.389999,42.320000,42.320000,9793300
2020-06-08,42.389999,42.590000,40.230000,42.180000,42.180000,8208800
2020-06-15,41.200001,45.669998,41.189999,45.619999,45.619999,13037800
2020-06-22,46.009998,50.750000,45.939999,49.029999,49.029999,22384800
2020-06-29,48.970001,50.660000,48.590000,50.119999,50.119999,8006900
2020-07-06,50.610001,51.990002,49.880001,51.330002,51.330002,11726400
2020-07-13,51.509998,55.220001,50.810001,54.740002,54.740002,19228500
2020-07-20,55.490002,56.970001,54.849998,56.220001,56.220001,10802000
2020-07-27,56.660000,58.020000,54.740002,57.540001,57.540001,11334900
2020-08-03,58.349998,60.180000,57.779999,59.160000,59.160000,7283200
2020-08-10,58.959999,61.400002,56.680000,60.049999,60.049999,15780600
2020-08-17,61.009998,64.129997,60.509998,63.570000,63.570000,24086900
2020-08-24,64.839996,67.110001,63.860001,65.250000,65.250000,17404400
2020-08-31,68.199997,70.110001,63.099998,64.440002,64.440002,42078000
2020-09-07,62.560001,63.119999,60.889999,61.820000,61.820000,14370600
2020-09-14,62.150002,63.759998,59.389999,60.970001,60.970001,11703500
2020-09-21,59.169998,69.599998,58.720001,63.330002,63.330002,29180100
2020-09-28,64.300003,65.790001,62.250000,62.500000,62.500000,9570800
2020-10-05,62.560001,64.010002,60.570000,60.930000,60.930000,12540100
2020-10-12,61.599998,63.009998,57.779999,57.990002,57.990002,10321100
2020-10-19,58.070000,59.259998,55.619999,59.119999,59.119999,12880500
2020-10-26,58.389999,59.869999,56.810001,57.570000,57.570000,11624200
2020-11-02,57.470001,63.900002,56.509998,63.810001,63.810001,9475500
2020-11-09,65.279999,66.430000,60.740002,62.110001,62.110001,9697500
2020-11-16,62.049999,62.959999,60.720001,61.939999,61.939999,5903700
2020-11-23,62.849998,68.029999,61.330002,67.190002,67.190002,7671600
2020-11-30,70.019997,70.529999,68.010002,68.050003,68.050003,10524700
