Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,810.599976,815.000000,795.200012,802.400024,754.450317,10272026
2019-05-13,801.000000,813.200012,790.400024,802.799988,754.826355,7931305
2019-05-20,803.200012,815.200012,782.400024,801.799988,753.886169,14322197
2019-05-27,801.799988,819.400024,782.000000,787.000000,739.970581,12654556
2019-06-03,785.200012,800.400024,764.000000,799.599976,751.817566,13534209
2019-06-10,800.799988,821.200012,788.000000,798.599976,750.877380,10942888
2019-06-17,802.400024,830.400024,802.400024,816.000000,767.237610,16230283
2019-06-24,816.000000,826.200012,807.000000,819.400024,770.434387,10716646
2019-07-01,827.599976,852.599976,823.400024,844.799988,794.316528,8930332
2019-07-08,842.200012,857.599976,836.599976,851.000000,800.146057,9803002
2019-07-15,850.000000,897.799988,850.000000,882.200012,829.481628,15378156
2019-07-22,884.000000,950.000000,868.599976,927.000000,871.604492,21538878
2019-07-29,939.400024,951.200012,828.000000,830.400024,780.777100,24084109
2019-08-05,828.000000,837.799988,805.200012,827.799988,778.332397,16699001
2019-08-12,833.000000,835.000000,802.799988,814.400024,765.733215,10268177
2019-08-19,816.000000,833.000000,809.400024,818.000000,774.832153,8070457
2019-08-26,818.000000,842.400024,802.000000,831.400024,787.525024,11288189
2019-09-02,828.000000,861.000000,828.000000,859.000000,813.668518,13580774
2019-09-09,864.000000,891.400024,856.000000,889.400024,842.464294,12520532
2019-09-16,869.400024,878.000000,851.200012,851.799988,806.848450,11788716
2019-09-23,855.599976,863.599976,694.599976,734.400024,695.643982,29761910
2019-09-30,721.000000,752.000000,703.200012,723.200012,685.035034,26310820
2019-10-07,725.000000,727.000000,680.799988,693.599976,656.997070,18794691
2019-10-14,687.400024,695.599976,673.400024,674.599976,638.999695,19722711
2019-10-21,685.000000,685.000000,670.000000,675.000000,639.378601,13020331
2019-10-28,676.799988,689.799988,669.400024,685.000000,648.850891,9435160
2019-11-04,684.000000,712.599976,681.799988,706.000000,668.742676,9395799
2019-11-11,703.799988,705.200012,6.874000,678.400024,642.599182,10874471
2019-11-18,676.400024,680.200012,632.000000,651.000000,616.645203,19140799
2019-11-25,650.000000,672.799988,646.400024,646.599976,612.477356,15622923
2019-12-02,648.400024,658.200012,619.599976,642.599976,608.688416,10761334
2019-12-09,643.599976,666.200012,626.002014,660.000000,625.170227,12374722
2019-12-16,650.000000,677.799988,610.348022,624.200012,591.259460,26107501
2019-12-23,626.799988,667.400024,623.200012,655.000000,620.434082,4916679
2019-12-30,655.000000,659.400024,637.000000,643.000000,609.067322,8215910
2020-01-06,640.799988,644.799988,621.799988,627.799988,594.669434,8293207
2020-01-13,624.599976,634.000000,532.599976,588.599976,557.538147,28549389
2020-01-20,586.400024,604.599976,572.599976,583.799988,552.991455,13544908
2020-01-27,570.799988,592.200012,564.000000,568.400024,538.404236,19901655
2020-02-03,564.000000,595.400024,563.599976,584.400024,553.559814,13086553
2020-02-10,579.799988,591.783020,556.400024,570.200012,540.109192,17627421
2020-02-17,578.400024,586.799988,549.000000,561.400024,531.773621,20175874
2020-02-24,551.000000,601.995972,544.599976,557.599976,528.174072,26105864
2020-03-02,568.200012,589.799988,546.200012,555.400024,526.090210,26449194
2020-03-09,530.000000,560.000000,507.399994,528.000000,500.136169,29144876
